Generation,Waypoints
0,"[{""Position"":{""X"":-14.215789088967524,""Y"":14.215789088967526}},{""Position"":{""X"":-41.93580282052013,""Y"":41.93580282052014}},{""Position"":{""X"":5.076645164577371,""Y"":88.94825080561765}},{""Position"":{""X"":5.076645164577373,""Y"":121.00328602589161}},{""Position"":{""X"":21.530847133027162,""Y"":131.47251936072047}}]"
0,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
0,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":269.250049611619,""Y"":22.360089267178108}}]"
0,"[{""Position"":{""X"":-14.215789088967524,""Y"":14.215789088967526}},{""Position"":{""X"":-41.93580282052013,""Y"":41.93580282052014}},{""Position"":{""X"":5.076645164577371,""Y"":88.94825080561765}},{""Position"":{""X"":5.076645164577373,""Y"":121.00328602589161}},{""Position"":{""X"":84.53582693097897,""Y"":163.05631143899393}}]"
0,"[{""Position"":{""X"":6.32455338924579E-16,""Y"":10.3287795201836}},{""Position"":{""X"":30.0643131215273,""Y"":53.38964726615629}},{""Position"":{""X"":30.064313121527302,""Y"":108.58479762954227}},{""Position"":{""X"":46.70904685824537,""Y"":125.22953136626035}},{""Position"":{""X"":84.53582693097897,""Y"":163.05631143899393}}]"
0,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
0,"[{""Position"":{""X"":7.211864247027053E-16,""Y"":11.77786812009509}},{""Position"":{""X"":38.303446961672044,""Y"":50.08131508176713}},{""Position"":{""X"":0.04652610191303097,""Y"":88.33823594152615}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
0,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":105.18031609123676,""Y"":37.860168015823334}},{""Position"":{""X"":106.03984526800448,""Y"":38.71969719259106}},{""Position"":{""X"":135.65882229825786,""Y"":68.33867422284445}},{""Position"":{""X"":185.06431241505953,""Y"":117.74416433964612}}]"
0,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":10.350139358638703,""Y"":56.63568044606741}},{""Position"":{""X"":-21.477926211493592,""Y"":88.4637460161997}},{""Position"":{""X"":1.8720923399375557,""Y"":111.81376456763086}},{""Position"":{""X"":29.62844042559742,""Y"":106.00040911895579}}]"
0,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
1,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":105.18031609123676,""Y"":37.860168015823334}},{""Position"":{""X"":106.03984526800448,""Y"":38.71969719259106}},{""Position"":{""X"":135.65882229825786,""Y"":68.33867422284445}},{""Position"":{""X"":269.250049611619,""Y"":22.360089267178108}}]"
1,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
1,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
1,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
1,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":84.53582693097897,""Y"":163.05631143899393}}]"
1,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":38.303446961672044,""Y"":50.08131508176713}},{""Position"":{""X"":0.04652610191303097,""Y"":88.33823594152615}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
1,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
1,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
1,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
1,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
2,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
2,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
2,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
2,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
2,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
2,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
2,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":105.18031609123676,""Y"":37.860168015823334}},{""Position"":{""X"":106.03984526800448,""Y"":38.71969719259106}},{""Position"":{""X"":135.65882229825786,""Y"":68.33867422284445}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
2,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
2,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
2,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":105.18031609123676,""Y"":37.860168015823334}},{""Position"":{""X"":106.03984526800448,""Y"":38.71969719259106}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
4,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
